comment,album,track_number,channels,sample_rate_hz,size_bytes,bit_depth,frames,genre,error,duration_seconds,title,year,artist,file
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,9177584,16,4588414,Classical,,104.045669,Offenbach - Can Can / Infernal Galop (from Orpheus in the Underworld) - Arranged for Strings,2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\offenbach_can_can_short.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,2571806,16,1285686,,,29.153878,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\gentle_alarms\paganini_caprice_no24_short.wav
"URL: https://www.classicals.de
Publisher: Fulda Symphonic Orchestra",3. Benefiz Symphonie-Konzert,,1,44100,38770890,16,19385102,Classical,,439.571474,Symphony No. 5 in C minor - Op. 67,,"Fulda Symphonic Orchestra, Conductor: Simon Schindler; Performer: Rebekka Herrmann (violine), Kristina Rill (viola)",D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_loud_original_length\beethoven_symphony_5.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,17168152,16,8583876,,,194.645714,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_loud_original_length\mozart_rondo_alla_turca.wav
,,,1,44100,18824748,16,9412352,,,213.432018,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_loud_original_length\never_gonna_give_you_up.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,17796646,16,8898048,Classical,,201.769796,,2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_loud_original_length\rossini_william_tell.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2025 Gregor Quendel. All rights reserved.",,,1,44100,14877554,16,7438436,Classical,,168.672018,"Beethoven - Für Elise - Bagatelle No. 25 in A Minor, WoO 59",2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\beethoven_fur_elise.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,15861500,16,7930368,Classical,,179.826939,"Bortolazzi, Bartolomeo - Notturno - Periodical Amusements for the Spanish Guitar, Book No. 13, 4",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\bortolazzi_notturno.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,6090152,16,3044736,Classical,,69.041633,"Carcassi, Matteo - Caprice in D-minor - Op. 59, No. 16",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\carcassi_caprice.wav
"URL: https://www.classicals.de
Publisher: Musopen Kickstarter Recording Project",,,1,44100,41952176,16,20975782,String Quartets,,475.641315,"String Quartet No. 12 in F Major, Op. 96, ""American"" - I. Allegro ma non troppo",,Musopen String Quartet,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\dvorak_american_quartet.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,14563984,16,7281792,,,165.12,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\fucik_entry_of_gladiators.wav
"URL: https://www.classicals.de
Publisher: Musopen Kickstarter Recording Project",,,1,44100,20214492,16,10106972,Classical,,229.183039,"Peer Gynt Suite No. 1, Op. 46 - I. Morning",,Czech National Symphony Orchestra,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\grieg_peer_gynt_morning.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,9610680,16,4804992,Classical,,108.956735,"Knoop, Maria Dolores - Six Waltzes, No. 1 - Arranged for Guitar",2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\knoop_waltz_no1.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,22319604,16,11159424,Classical,,253.048163,Offenbach - Can Can / Infernal Galop (from Orpheus in the Underworld) - Arranged for Strings,2024,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\offenbach_can_can.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2024 Gregor Quendel. All rights reserved.",,,1,44100,21130418,16,10564992,,,239.56898,,,,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\paganini_caprice_no24.wav
"https://www.classicals.de
https://www.gregorquendel.com
© 2025 Gregor Quendel. All rights reserved.",,,1,44100,12789666,16,6394500,Classical,,145.0,"Rachmaninoff - Prelude in G-Sharp Minor, Allegro - Op. 32, No. 12",2025,Gregor Quendel,D:\Tim\Personal\Projects\Tim Alarm Clock\alarms_gradual_original_length\rachmaninoff_prelude_op32.wav
